id;address;categories;city;country;latitude;longitude;currency;menus.description;menus.name;name;postalCode;province
AVwc_6KEIN2L1WUfrKAH;Cascade Village Mall Across From Target;Pizza Place;Bend;US;44.10266476;-121.3007971;USD;Cheese, sausage, pepperoni;Bianca Pizza;Little Pizza Paradise;97701;OR
AVwc_6KEIN2L1WUfrKAH;Cascade Village Mall Across From Target;Pizza Place;Bend;US;44.10266476;-121.3007971;USD;Tomato sauce, mozzarella, pepperoni, red onions black olives and fresh mushrooms;Cheese Pizza;Little Pizza Paradise;97701;OR
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;34.06456347;-118.4690173;USD;beef, pizza sauce, onions and provolone cheese;Pizza, Margherita;The Brentwood;90049;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;34.06456347;-118.4690173;USD; Olive oil, garlic, basil, mozzarella, and ricotta cheese.;Pizza, Mushroom;The Brentwood;90049;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;34.06456347;-118.4690173;USD;Smoked pepper sauce, squash, onion, almond, feta, salsa verde;Pizza, Salami Piccante;The Brentwood;90049;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;34.06456347;-118.4690173;USD;Red sauce, pork belly, housemade sausage, bacon, ham, mozzarella.;Pizza, White Truffle Meat Sauce;The Brentwood;90049;Brentwood
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;34.1017424;-118.3019729;USD;Soy onion spread, pulled chicken, red pepper, scallion, shitake, mozzarella;Meat Lover Pizza;Bravo Pizza Hollywood;90027;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;34.1017424;-118.3019729;USD;Cheese, sausage, pepperoni;Pizza Sub;Bravo Pizza Hollywood;90027;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;34.1017424;-118.3019729;USD;Tomato sauce, mozzarella, pepperoni, red onions black olives and fresh mushrooms;Super Pizza Sub;Bravo Pizza Hollywood;90027;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;34.1017424;-118.3019729;USD;beef, pizza sauce, onions and provolone cheese;Veggie Pizza;Bravo Pizza Hollywood;90027;Los Feliz
AVwc_abAIN2L1WUfrEps;478 South St;American Restaurant, Seafood Restaurant, and French Restaurant;Hyannis;US;41.64827787;-70.29134463;USD; Olive oil, garlic, basil, mozzarella, and ricotta cheese.;Cheese Pizza;Roadhouse Cafe;2601;MA
AVwc_abAIN2L1WUfrEps;478 South St;American Restaurant, Seafood Restaurant, and French Restaurant;Hyannis;US;41.64827787;-70.29134463;USD;Cheese, sausage, pepperoni;Pepperoni Pizza;Roadhouse Cafe;2601;MA
AVwc_dHKkufWRAb51Kei;1 N University Hl;University,University University;Provo;US;40.25083927;-111.6492677;USD;Tomato sauce, mozzarella, pepperoni, red onions black olives and fresh mushrooms;House Made Pizza;Brigham Young University;84602;UT
AVwc_gjWByjofQCxkYOz;9595 Six Pines Dr;Sporting Goods Shop,Shoe Store,Sporting Goods Shop and Shoe Store Town Center,Sporting Goods Shop and Shoe Store,Sportswear,Shoe Stores,Running Stores,Clothing Stores,Sporting Goods;Spring;US;30.16413;-95.46235;USD;beef, pizza sauce, onions and provolone cheese;Pizza Con Uovo Fritto;Luke's Locker;77380;TX
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;41.89854289;-87.6219955;USD; Olive oil, garlic, basil, mozzarella, and ricotta cheese.;Pizza Margherita;Francesca's On Chestnut;60611;Ontario Street
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;41.89854289;-87.6219955;USD;Smoked pepper sauce, squash, onion, almond, feta, salsa verde;Pizza Margherita;Francesca's On Chestnut;60611;Ontario Street
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;41.89854289;-87.6219955;USD;Red sauce, pork belly, housemade sausage, bacon, ham, mozzarella.;Pizza Schiacchiata Alla Toscana;Francesca's On Chestnut;60611;Ontario Street
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;41.89854289;-87.6219955;USD;Soy onion spread, pulled chicken, red pepper, scallion, shitake, mozzarella;Pizza Schiacchiata Alla Toscana;Francesca's On Chestnut;60611;Ontario Street
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;39.96193;-75.60276;USD;Cheese, sausage, pepperoni;Pizza Bagel (plain);Country Bagel Bakery;19380;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;39.96193;-75.60276;USD;Tomato sauce, mozzarella, pepperoni, red onions black olives and fresh mushrooms;Pizza Bagel With Mushroom;Country Bagel Bakery;19380;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;39.96193;-75.60276;USD;beef, pizza sauce, onions and provolone cheese;Pizza Bagel With Pepperoni;Country Bagel Bakery;19380;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;39.96193;-75.60276;USD; Olive oil, garlic, basil, mozzarella, and ricotta cheese.;Pizza Bagel With Pepperoni and Mushroom;Country Bagel Bakery;19380;PA
AVwc_JnXIN2L1WUfrB0m;925 Blossom Hill Road Oakridge Mall;Restaurant;San Jose;US;37.250458;-121.863415;USD;Smoked pepper sauce, squash, onion, almond, feta, salsa verde;Pizza Con Formaggio;Buca Di Beppo - San Jose - Oakridge;95123;CA
AVwc_KyeIN2L1WUfrB_N;26900 Newport Rd;Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor;Menifee;US;33.68678191;-117.1903038;USD;Red sauce, pork belly, housemade sausage, bacon, ham, mozzarella.;Breakfast Pizza;Giovanni's Pizza and Pasta;92584;CA
AVwc_KyeIN2L1WUfrB_N;26900 Newport Rd;Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor;Menifee;US;33.68678191;-117.1903038;USD;Soy onion spread, pulled chicken, red pepper, scallion, shitake, mozzarella;Cadillac Pizza;Giovanni's Pizza and Pasta;92584;CA
AVwc_KyeIN2L1WUfrB_N;26900 Newport Rd;Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor;Menifee;US;33.68678191;-117.1903038;USD;Cheese, sausage, pepperoni;Hawaiin Pizza;Giovanni's Pizza and Pasta;92584;CA
AVwc_KyeIN2L1WUfrB_N;26900 Newport Rd;Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor;Menifee;US;33.68678191;-117.1903038;USD;Tomato sauce, mozzarella, pepperoni, red onions black olives and fresh mushrooms;Pesto Chicken Pizza;Giovanni's Pizza and Pasta;92584;CA
